array_id	year	start_month	end_month	script	status	start_time	end_time
0	2020	1	3	scraper.py	RUNNING	2026-04-07 19:48:05	
5	2021	4	6	scraper.py	RUNNING	2026-04-07 19:48:05	
1	2020	4	6	scraper.py	RUNNING	2026-04-07 19:48:05	
4	2021	1	3	scraper.py	RUNNING	2026-04-07 19:48:05	
3	2020	10	12	scraper.py	RUNNING	2026-04-07 19:48:05	
2	2020	7	9	scraper.py	RUNNING	2026-04-07 19:48:06	
0	2020	1	3	scraper.py	COMPLETED	2026-04-07 19:48:05	2026-04-07 22:47:23
1	2020	4	6	scraper.py	COMPLETED	2026-04-07 19:48:05	2026-04-07 23:24:49
3	2020	10	12	scraper.py	COMPLETED	2026-04-07 19:48:05	2026-04-07 23:38:45
2	2020	7	9	scraper.py	COMPLETED	2026-04-07 19:48:06	2026-04-07 23:57:19
4	2021	1	3	scraper.py	COMPLETED	2026-04-07 19:48:05	2026-04-07 23:59:33
5	2021	4	6	scraper.py	COMPLETED	2026-04-07 19:48:05	2026-04-08 00:08:12
1	2022	4	6	scraper.py	RUNNING	2026-04-08 00:16:05	
4	2022	7	9	scraper.py	RUNNING	2026-04-08 00:16:06	
3	2021	10	12	scraper.py	RUNNING	2026-04-08 00:16:06	
5	2022	10	12	scraper.py	RUNNING	2026-04-08 00:16:06	
2	2021	7	9	scraper.py	RUNNING	2026-04-08 00:16:06	
0	2022	1	3	scraper.py	RUNNING	2026-04-08 00:16:13	
2	2021	7	9	scraper.py	COMPLETED	2026-04-08 00:16:06	2026-04-08 05:57:27
3	2021	10	12	scraper.py	COMPLETED	2026-04-08 00:16:06	2026-04-08 06:11:34
0	2022	1	3	scraper.py	COMPLETED	2026-04-08 00:16:13	2026-04-08 06:27:33
1	2022	4	6	scraper.py	COMPLETED	2026-04-08 00:16:05	2026-04-08 06:31:53
5	2022	10	12	scraper.py	COMPLETED	2026-04-08 00:16:06	2026-04-08 06:39:57
4	2022	7	9	scraper.py	COMPLETED	2026-04-08 00:16:06	2026-04-08 06:52:00
